"1bP2 - RawData"
"Wavelength nm.","T%"
200.00,0.004
201.00,0.004
202.00,0.003
203.00,0.001
204.00,0.004
205.00,0.000
206.00,0.000
207.00,-0.000
208.00,0.003
209.00,0.002
210.00,-0.001
211.00,0.001
212.00,0.002
213.00,0.001
214.00,0.002
215.00,-0.000
216.00,0.004
217.00,0.000
218.00,0.002
219.00,-0.001
220.00,0.002
221.00,0.000
222.00,-0.002
223.00,0.001
224.00,0.001
225.00,-0.000
226.00,0.000
227.00,0.002
228.00,0.000
229.00,-0.000
230.00,-0.000
231.00,0.001
232.00,-0.002
233.00,0.001
234.00,0.002
235.00,0.001
236.00,0.000
237.00,0.001
238.00,0.000
239.00,0.002
240.00,-0.001
241.00,0.001
242.00,0.001
243.00,0.001
244.00,-0.001
245.00,-0.000
246.00,-0.001
247.00,-0.001
248.00,-0.000
249.00,0.001
250.00,-0.001
251.00,0.001
252.00,-0.001
253.00,0.001
254.00,0.000
255.00,0.001
256.00,0.002
257.00,0.001
258.00,-0.001
259.00,0.001
260.00,0.000
261.00,0.000
262.00,0.001
263.00,-0.000
264.00,0.001
265.00,0.001
266.00,0.001
267.00,0.000
268.00,0.001
269.00,0.001
270.00,0.001
271.00,0.001
272.00,-0.001
273.00,0.000
274.00,0.000
275.00,0.001
276.00,0.002
277.00,0.000
278.00,-0.001
279.00,-0.000
280.00,-0.000
281.00,0.001
282.00,0.002
283.00,-0.001
284.00,-0.001
285.00,0.000
286.00,-0.002
287.00,0.000
288.00,-0.001
289.00,0.002
290.00,-0.000
291.00,0.001
292.00,-0.000
293.00,0.000
294.00,0.001
295.00,0.001
296.00,-0.000
297.00,0.001
298.00,0.002
299.00,0.003
300.00,0.004
301.00,0.005
302.00,0.009
303.00,0.017
304.00,0.022
305.00,0.033
306.00,0.053
307.00,0.078
308.00,0.120
309.00,0.184
310.00,0.251
311.00,0.342
312.00,0.461
313.00,0.621
314.00,0.805
315.00,1.042
316.00,1.308
317.00,1.644
318.00,2.008
319.00,2.439
320.00,2.934
321.00,3.493
322.00,4.094
323.00,4.782
324.00,5.510
325.00,6.204
326.00,6.917
327.00,7.774
328.00,8.616
329.00,9.483
330.00,10.358
331.00,11.206
332.00,12.093
333.00,13.072
334.00,13.922
335.00,14.854
336.00,15.711
337.00,16.594
338.00,17.438
339.00,18.185
340.00,18.998
341.00,19.771
342.00,20.483
343.00,21.216
344.00,21.831
345.00,22.560
346.00,23.110
347.00,23.643
348.00,24.188
349.00,24.603
350.00,25.063
351.00,25.529
352.00,25.850
353.00,26.267
354.00,26.640
355.00,26.965
356.00,27.207
357.00,27.462
358.00,27.748
359.00,28.104
360.00,28.322
361.00,28.449
362.00,28.614
363.00,28.857
364.00,28.922
365.00,29.061
366.00,29.150
367.00,29.218
368.00,29.291
369.00,29.327
370.00,29.428
371.00,29.435
372.00,29.407
373.00,29.403
374.00,29.475
375.00,29.458
376.00,29.370
377.00,29.286
378.00,29.226
379.00,29.132
380.00,29.091
381.00,29.103
382.00,29.091
383.00,29.102
384.00,29.120
385.00,29.219
386.00,29.246
387.00,29.229
388.00,29.353
389.00,29.277
390.00,29.372
391.00,29.391
392.00,29.482
393.00,29.455
394.00,29.473
395.00,29.514
396.00,29.503
397.00,29.570
398.00,29.521
399.00,29.514
400.00,29.538
401.00,29.506
402.00,29.522
403.00,29.499
404.00,29.543
405.00,29.494
406.00,29.499
407.00,29.399
408.00,29.417
409.00,29.367
410.00,29.277
411.00,29.277
412.00,29.228
413.00,29.307
414.00,29.233
415.00,29.211
416.00,29.342
417.00,29.265
418.00,29.323
419.00,29.381
420.00,29.453
421.00,29.421
422.00,29.419
423.00,29.516
424.00,29.543
425.00,29.543
426.00,29.599
427.00,29.658
428.00,29.667
429.00,29.688
430.00,29.719
431.00,29.795
432.00,29.797
433.00,29.846
434.00,29.920
435.00,30.004
436.00,30.033
437.00,30.104
438.00,30.170
439.00,30.205
440.00,30.303
441.00,30.366
442.00,30.438
443.00,30.478
444.00,30.605
445.00,30.682
446.00,30.786
447.00,30.849
448.00,30.957
449.00,31.053
450.00,31.170
451.00,31.197
452.00,31.317
453.00,31.430
454.00,31.494
455.00,31.617
456.00,31.739
457.00,31.787
458.00,31.890
459.00,32.050
460.00,32.160
461.00,32.304
462.00,32.353
463.00,32.530
464.00,32.620
465.00,32.680
466.00,32.822
467.00,32.976
468.00,33.038
469.00,33.147
470.00,33.221
471.00,33.277
472.00,33.383
473.00,33.446
474.00,33.515
475.00,33.649
476.00,33.758
477.00,33.780
478.00,33.930
479.00,34.072
480.00,34.222
481.00,34.317
482.00,34.512
483.00,34.629
484.00,34.790
485.00,34.966
486.00,35.082
487.00,35.178
488.00,35.250
489.00,35.475
490.00,35.564
491.00,35.653
492.00,35.910
493.00,36.043
494.00,35.977
495.00,36.145
496.00,36.257
497.00,36.340
498.00,36.444
499.00,36.561
500.00,36.716
501.00,36.782
502.00,36.938
503.00,37.059
504.00,37.066
505.00,37.181
506.00,37.284
507.00,37.327
508.00,37.402
509.00,37.627
510.00,37.749
511.00,37.758
512.00,37.953
513.00,38.107
514.00,38.134
515.00,38.289
516.00,38.395
517.00,38.425
518.00,38.506
519.00,38.575
520.00,38.608
521.00,38.734
522.00,38.787
523.00,38.812
524.00,38.906
525.00,38.985
526.00,39.109
527.00,39.099
528.00,39.182
529.00,39.374
530.00,39.527
531.00,39.594
532.00,39.644
533.00,39.723
534.00,39.769
535.00,39.884
536.00,39.941
537.00,40.032
538.00,40.073
539.00,40.097
540.00,40.185
541.00,40.141
542.00,40.237
543.00,40.238
544.00,40.340
545.00,40.390
546.00,40.415
547.00,40.569
548.00,40.577
549.00,40.621
550.00,40.689
551.00,40.794
552.00,40.843
553.00,40.852
554.00,40.938
555.00,40.959
556.00,40.988
557.00,41.087
558.00,41.121
559.00,41.127
560.00,41.209
561.00,41.257
562.00,41.302
563.00,41.385
564.00,41.370
565.00,41.379
566.00,41.374
567.00,41.414
568.00,41.460
569.00,41.533
570.00,41.495
571.00,41.572
572.00,41.615
573.00,41.536
574.00,41.515
575.00,41.525
576.00,41.538
577.00,41.601
578.00,41.747
579.00,41.803
580.00,41.805
581.00,41.935
582.00,42.021
583.00,42.025
584.00,42.115
585.00,42.179
586.00,42.200
587.00,42.276
588.00,42.333
589.00,42.209
590.00,42.244
591.00,42.310
592.00,42.236
593.00,42.396
594.00,42.432
595.00,42.501
596.00,42.584
597.00,42.582
598.00,42.620
599.00,42.626
600.00,42.675
601.00,42.695
602.00,42.709
603.00,42.709
604.00,42.723
605.00,42.738
606.00,42.771
607.00,42.774
608.00,42.974
609.00,43.058
610.00,42.881
611.00,42.914
612.00,42.993
613.00,42.962
614.00,43.049
615.00,43.123
616.00,43.152
617.00,43.070
618.00,43.115
619.00,43.313
620.00,43.296
621.00,43.331
622.00,43.350
623.00,43.456
624.00,43.510
625.00,43.588
626.00,43.613
627.00,43.614
628.00,43.674
629.00,43.650
630.00,43.624
631.00,43.697
632.00,43.794
633.00,43.919
634.00,43.975
635.00,44.055
636.00,44.082
637.00,44.069
638.00,44.140
639.00,44.221
640.00,44.200
641.00,44.283
642.00,44.290
643.00,44.396
644.00,44.491
645.00,44.504
646.00,44.619
647.00,44.646
648.00,44.700
649.00,44.710
650.00,44.665
651.00,44.773
652.00,44.871
653.00,44.874
654.00,44.914
655.00,44.990
656.00,45.287
657.00,45.115
