"2aP2 - RawData"
"Wavelength nm.","T%"
200.00,-0.000
201.00,0.001
202.00,0.000
203.00,0.004
204.00,0.001
205.00,0.001
206.00,0.000
207.00,0.002
208.00,0.002
209.00,0.001
210.00,0.001
211.00,0.003
212.00,0.003
213.00,0.002
214.00,0.000
215.00,-0.000
216.00,-0.001
217.00,0.002
218.00,0.002
219.00,0.002
220.00,0.003
221.00,-0.000
222.00,0.000
223.00,0.001
224.00,0.002
225.00,0.004
226.00,0.002
227.00,0.000
228.00,0.002
229.00,0.003
230.00,0.000
231.00,0.003
232.00,0.003
233.00,0.002
234.00,0.000
235.00,0.001
236.00,0.000
237.00,0.001
238.00,0.001
239.00,0.003
240.00,0.001
241.00,0.000
242.00,0.001
243.00,0.002
244.00,0.001
245.00,-0.000
246.00,0.000
247.00,0.000
248.00,0.001
249.00,0.001
250.00,0.000
251.00,0.002
252.00,0.001
253.00,0.002
254.00,0.001
255.00,0.000
256.00,0.002
257.00,0.001
258.00,0.001
259.00,-0.000
260.00,-0.000
261.00,0.002
262.00,0.001
263.00,-0.002
264.00,-0.001
265.00,0.001
266.00,0.001
267.00,0.000
268.00,-0.001
269.00,0.001
270.00,-0.000
271.00,0.001
272.00,0.000
273.00,0.001
274.00,-0.000
275.00,0.000
276.00,0.001
277.00,0.002
278.00,-0.000
279.00,0.000
280.00,0.000
281.00,-0.000
282.00,-0.000
283.00,-0.000
284.00,0.000
285.00,0.001
286.00,-0.001
287.00,-0.000
288.00,-0.000
289.00,-0.000
290.00,0.002
291.00,-0.001
292.00,0.000
293.00,0.001
294.00,-0.001
295.00,-0.000
296.00,0.000
297.00,0.000
298.00,0.000
299.00,0.002
300.00,0.001
301.00,0.003
302.00,0.006
303.00,0.008
304.00,0.010
305.00,0.017
306.00,0.025
307.00,0.035
308.00,0.056
309.00,0.088
310.00,0.127
311.00,0.167
312.00,0.226
313.00,0.308
314.00,0.401
315.00,0.519
316.00,0.668
317.00,0.842
318.00,1.046
319.00,1.280
320.00,1.544
321.00,1.849
322.00,2.171
323.00,2.563
324.00,2.962
325.00,3.378
326.00,3.805
327.00,4.284
328.00,4.795
329.00,5.298
330.00,5.827
331.00,6.383
332.00,6.903
333.00,7.504
334.00,7.969
335.00,8.608
336.00,9.149
337.00,9.705
338.00,10.258
339.00,10.761
340.00,11.279
341.00,11.780
342.00,12.242
343.00,12.671
344.00,13.142
345.00,13.575
346.00,13.986
347.00,14.328
348.00,14.659
349.00,15.016
350.00,15.317
351.00,15.639
352.00,15.844
353.00,16.117
354.00,16.374
355.00,16.570
356.00,16.758
357.00,16.931
358.00,17.117
359.00,17.353
360.00,17.514
361.00,17.604
362.00,17.764
363.00,17.864
364.00,17.938
365.00,18.002
366.00,18.063
367.00,18.134
368.00,18.158
369.00,18.185
370.00,18.244
371.00,18.273
372.00,18.220
373.00,18.221
374.00,18.245
375.00,18.227
376.00,18.171
377.00,18.113
378.00,18.057
379.00,17.980
380.00,17.981
381.00,17.944
382.00,17.938
383.00,17.958
384.00,17.976
385.00,17.974
386.00,17.940
387.00,17.994
388.00,18.037
389.00,18.016
390.00,18.037
391.00,18.052
392.00,18.077
393.00,18.033
394.00,18.080
395.00,18.082
396.00,18.062
397.00,18.094
398.00,18.052
399.00,18.048
400.00,18.025
401.00,18.049
402.00,18.043
403.00,18.025
404.00,18.033
405.00,18.022
406.00,18.003
407.00,17.975
408.00,17.983
409.00,17.932
410.00,17.883
411.00,17.905
412.00,17.888
413.00,17.914
414.00,17.842
415.00,17.874
416.00,17.929
417.00,17.916
418.00,17.960
419.00,18.006
420.00,18.075
421.00,18.081
422.00,18.100
423.00,18.168
424.00,18.206
425.00,18.227
426.00,18.233
427.00,18.319
428.00,18.342
429.00,18.367
430.00,18.432
431.00,18.490
432.00,18.545
433.00,18.608
434.00,18.657
435.00,18.745
436.00,18.787
437.00,18.848
438.00,18.920
439.00,18.996
440.00,19.073
441.00,19.181
442.00,19.248
443.00,19.329
444.00,19.432
445.00,19.525
446.00,19.617
447.00,19.722
448.00,19.789
449.00,19.923
450.00,20.041
451.00,20.099
452.00,20.240
453.00,20.347
454.00,20.436
455.00,20.569
456.00,20.688
457.00,20.789
458.00,20.896
459.00,21.041
460.00,21.191
461.00,21.294
462.00,21.423
463.00,21.556
464.00,21.689
465.00,21.831
466.00,21.938
467.00,22.083
468.00,22.211
469.00,22.327
470.00,22.445
471.00,22.555
472.00,22.644
473.00,22.721
474.00,22.917
475.00,22.992
476.00,23.169
477.00,23.283
478.00,23.417
479.00,23.586
480.00,23.737
481.00,23.864
482.00,24.042
483.00,24.171
484.00,24.347
485.00,24.507
486.00,24.705
487.00,24.796
488.00,24.904
489.00,25.126
490.00,25.249
491.00,25.418
492.00,25.630
493.00,25.811
494.00,25.793
495.00,25.975
496.00,26.108
497.00,26.238
498.00,26.404
499.00,26.549
500.00,26.709
501.00,26.809
502.00,26.968
503.00,27.113
504.00,27.181
505.00,27.312
506.00,27.454
507.00,27.534
508.00,27.685
509.00,27.879
510.00,27.985
511.00,28.095
512.00,28.293
513.00,28.403
514.00,28.522
515.00,28.692
516.00,28.760
517.00,28.903
518.00,29.056
519.00,29.148
520.00,29.228
521.00,29.311
522.00,29.423
523.00,29.450
524.00,29.593
525.00,29.680
526.00,29.799
527.00,29.846
528.00,29.952
529.00,30.144
530.00,30.265
531.00,30.398
532.00,30.503
533.00,30.566
534.00,30.680
535.00,30.783
536.00,30.871
537.00,30.949
538.00,31.018
539.00,31.094
540.00,31.176
541.00,31.220
542.00,31.309
543.00,31.378
544.00,31.480
545.00,31.534
546.00,31.560
547.00,31.706
548.00,31.782
549.00,31.845
550.00,31.945
551.00,32.049
552.00,32.125
553.00,32.173
554.00,32.223
555.00,32.274
556.00,32.390
557.00,32.500
558.00,32.488
559.00,32.541
560.00,32.654
561.00,32.697
562.00,32.742
563.00,32.812
564.00,32.833
565.00,32.864
566.00,32.902
567.00,32.928
568.00,32.977
569.00,33.077
570.00,33.060
571.00,33.179
572.00,33.204
573.00,33.099
574.00,33.180
575.00,33.332
576.00,33.262
577.00,33.370
578.00,33.476
579.00,33.509
580.00,33.552
581.00,33.691
582.00,33.791
583.00,33.835
584.00,33.935
585.00,33.997
586.00,34.017
587.00,34.087
588.00,34.126
589.00,34.093
590.00,34.217
591.00,34.270
592.00,34.211
593.00,34.306
594.00,34.373
595.00,34.490
596.00,34.516
597.00,34.589
598.00,34.663
599.00,34.674
600.00,34.766
601.00,34.744
602.00,34.724
603.00,34.791
604.00,34.909
605.00,34.860
606.00,34.839
607.00,35.032
608.00,35.279
609.00,35.268
610.00,35.195
611.00,35.265
612.00,35.352
613.00,35.387
614.00,35.429
615.00,35.511
616.00,35.624
617.00,35.639
618.00,35.643
619.00,35.777
620.00,35.756
621.00,35.809
622.00,35.924
623.00,35.972
624.00,36.110
625.00,36.172
626.00,36.155
627.00,36.148
628.00,36.389
629.00,36.506
630.00,36.467
631.00,36.562
632.00,36.627
633.00,36.742
634.00,36.846
635.00,36.938
636.00,36.996
637.00,37.062
638.00,37.159
639.00,37.274
640.00,37.305
641.00,37.436
642.00,37.507
643.00,37.536
644.00,37.680
645.00,37.785
646.00,37.898
647.00,38.005
648.00,38.057
649.00,38.102
650.00,38.150
651.00,38.362
652.00,38.507
653.00,38.503
