"2bP2 - RawData"
"Wavelength nm.","T%"
200.00,0.000
201.00,-0.000
202.00,0.004
203.00,0.005
204.00,0.002
205.00,-0.000
206.00,-0.002
207.00,-0.002
208.00,0.002
209.00,0.003
210.00,-0.000
211.00,0.004
212.00,0.002
213.00,-0.001
214.00,0.003
215.00,0.003
216.00,-0.000
217.00,-0.001
218.00,0.001
219.00,-0.000
220.00,0.000
221.00,0.001
222.00,0.003
223.00,0.002
224.00,0.001
225.00,0.004
226.00,0.002
227.00,0.004
228.00,0.002
229.00,0.001
230.00,0.002
231.00,0.001
232.00,0.001
233.00,-0.001
234.00,0.000
235.00,-0.003
236.00,-0.001
237.00,0.000
238.00,0.002
239.00,0.001
240.00,-0.000
241.00,0.002
242.00,-0.000
243.00,0.003
244.00,-0.000
245.00,0.000
246.00,-0.001
247.00,-0.001
248.00,-0.000
249.00,-0.000
250.00,-0.000
251.00,0.001
252.00,0.001
253.00,-0.002
254.00,-0.001
255.00,0.002
256.00,0.001
257.00,-0.000
258.00,-0.001
259.00,-0.001
260.00,0.000
261.00,0.000
262.00,-0.001
263.00,-0.001
264.00,-0.001
265.00,-0.000
266.00,0.001
267.00,-0.001
268.00,0.001
269.00,0.000
270.00,0.001
271.00,0.000
272.00,0.000
273.00,-0.001
274.00,-0.001
275.00,0.000
276.00,0.000
277.00,-0.000
278.00,0.000
279.00,0.001
280.00,-0.001
281.00,-0.001
282.00,0.001
283.00,0.001
284.00,0.001
285.00,-0.001
286.00,-0.001
287.00,-0.001
288.00,0.000
289.00,0.001
290.00,0.001
291.00,-0.000
292.00,0.003
293.00,-0.000
294.00,-0.000
295.00,0.001
296.00,-0.002
297.00,0.000
298.00,0.001
299.00,0.002
300.00,0.001
301.00,0.004
302.00,0.002
303.00,0.004
304.00,0.009
305.00,0.016
306.00,0.023
307.00,0.035
308.00,0.059
309.00,0.087
310.00,0.124
311.00,0.160
312.00,0.224
313.00,0.300
314.00,0.400
315.00,0.527
316.00,0.671
317.00,0.840
318.00,1.047
319.00,1.277
320.00,1.546
321.00,1.854
322.00,2.197
323.00,2.599
324.00,3.009
325.00,3.418
326.00,3.874
327.00,4.344
328.00,4.872
329.00,5.367
330.00,5.917
331.00,6.446
332.00,6.998
333.00,7.595
334.00,8.163
335.00,8.747
336.00,9.311
337.00,9.899
338.00,10.488
339.00,10.976
340.00,11.477
341.00,11.958
342.00,12.461
343.00,12.902
344.00,13.368
345.00,13.852
346.00,14.232
347.00,14.608
348.00,15.004
349.00,15.286
350.00,15.626
351.00,15.940
352.00,16.166
353.00,16.435
354.00,16.675
355.00,16.918
356.00,17.126
357.00,17.310
358.00,17.513
359.00,17.710
360.00,17.855
361.00,17.954
362.00,18.098
363.00,18.230
364.00,18.320
365.00,18.369
366.00,18.458
367.00,18.548
368.00,18.526
369.00,18.607
370.00,18.646
371.00,18.649
372.00,18.672
373.00,18.654
374.00,18.636
375.00,18.634
376.00,18.596
377.00,18.536
378.00,18.472
379.00,18.417
380.00,18.415
381.00,18.409
382.00,18.377
383.00,18.402
384.00,18.411
385.00,18.423
386.00,18.411
387.00,18.470
388.00,18.506
389.00,18.481
390.00,18.530
391.00,18.541
392.00,18.504
393.00,18.522
394.00,18.520
395.00,18.557
396.00,18.538
397.00,18.542
398.00,18.553
399.00,18.544
400.00,18.540
401.00,18.553
402.00,18.532
403.00,18.543
404.00,18.523
405.00,18.511
406.00,18.512
407.00,18.504
408.00,18.498
409.00,18.433
410.00,18.414
411.00,18.408
412.00,18.383
413.00,18.429
414.00,18.396
415.00,18.422
416.00,18.444
417.00,18.447
418.00,18.481
419.00,18.538
420.00,18.565
421.00,18.603
422.00,18.624
423.00,18.658
424.00,18.702
425.00,18.720
426.00,18.770
427.00,18.820
428.00,18.857
429.00,18.903
430.00,18.977
431.00,19.016
432.00,19.063
433.00,19.119
434.00,19.161
435.00,19.271
436.00,19.310
437.00,19.401
438.00,19.468
439.00,19.581
440.00,19.580
441.00,19.662
442.00,19.735
443.00,19.815
444.00,19.930
445.00,20.002
446.00,20.126
447.00,20.225
448.00,20.278
449.00,20.440
450.00,20.527
451.00,20.620
452.00,20.740
453.00,20.841
454.00,20.960
455.00,21.043
456.00,21.230
457.00,21.293
458.00,21.411
459.00,21.555
460.00,21.650
461.00,21.792
462.00,21.901
463.00,22.061
464.00,22.176
465.00,22.315
466.00,22.455
467.00,22.603
468.00,22.701
469.00,22.798
470.00,22.929
471.00,23.047
472.00,23.165
473.00,23.266
474.00,23.383
475.00,23.505
476.00,23.632
477.00,23.773
478.00,23.895
479.00,24.056
480.00,24.230
481.00,24.347
482.00,24.505
483.00,24.653
484.00,24.814
485.00,24.974
486.00,25.107
487.00,25.286
488.00,25.423
489.00,25.608
490.00,25.745
491.00,25.860
492.00,26.090
493.00,26.239
494.00,26.273
495.00,26.413
496.00,26.546
497.00,26.682
498.00,26.800
499.00,26.993
500.00,27.110
501.00,27.233
502.00,27.407
503.00,27.526
504.00,27.609
505.00,27.766
506.00,27.886
507.00,27.970
508.00,28.103
509.00,28.215
510.00,28.423
511.00,28.520
512.00,28.680
513.00,28.814
514.00,28.937
515.00,29.119
516.00,29.188
517.00,29.271
518.00,29.458
519.00,29.512
520.00,29.535
521.00,29.674
522.00,29.815
523.00,29.882
524.00,29.971
525.00,30.070
526.00,30.174
527.00,30.283
528.00,30.316
529.00,30.521
530.00,30.673
531.00,30.759
532.00,30.820
533.00,30.927
534.00,31.032
535.00,31.130
536.00,31.166
537.00,31.331
538.00,31.350
539.00,31.435
540.00,31.544
541.00,31.599
542.00,31.674
543.00,31.757
544.00,31.825
545.00,31.887
546.00,31.934
547.00,32.104
548.00,32.150
549.00,32.200
550.00,32.285
551.00,32.429
552.00,32.506
553.00,32.509
554.00,32.598
555.00,32.666
556.00,32.683
557.00,32.774
558.00,32.834
559.00,32.927
560.00,32.885
561.00,32.941
562.00,33.145
563.00,33.038
564.00,33.206
565.00,33.243
566.00,33.277
567.00,33.317
568.00,33.362
569.00,33.406
570.00,33.475
571.00,33.561
572.00,33.549
573.00,33.525
574.00,33.590
575.00,33.644
576.00,33.634
577.00,33.699
578.00,33.799
579.00,33.921
580.00,33.935
581.00,34.005
582.00,34.033
583.00,34.065
584.00,34.179
585.00,34.290
586.00,34.321
587.00,34.431
588.00,34.451
589.00,34.438
590.00,34.529
591.00,34.581
592.00,34.565
593.00,34.596
594.00,34.748
595.00,34.787
596.00,34.839
597.00,34.899
598.00,34.954
599.00,34.961
600.00,34.966
601.00,35.061
602.00,35.141
603.00,35.179
604.00,35.215
605.00,35.285
606.00,35.268
607.00,35.331
608.00,35.518
609.00,35.586
610.00,35.458
611.00,35.560
612.00,35.599
613.00,35.695
614.00,35.723
615.00,35.783
616.00,35.882
617.00,35.891
618.00,35.905
619.00,35.973
620.00,36.074
621.00,36.063
622.00,36.154
623.00,36.203
624.00,36.303
625.00,36.374
626.00,36.434
627.00,36.511
628.00,36.566
629.00,36.652
630.00,36.702
631.00,36.750
632.00,36.850
633.00,36.957
634.00,37.048
635.00,37.117
636.00,37.244
637.00,37.261
638.00,37.296
639.00,37.464
640.00,37.455
641.00,37.515
642.00,37.613
643.00,37.730
644.00,37.786
645.00,37.863
646.00,38.064
647.00,38.089
648.00,38.251
649.00,38.312
650.00,38.256
651.00,38.421
652.00,38.517
653.00,38.525
654.00,38.643
655.00,38.859
656.00,39.025
657.00,39.010
658.00,39.068
659.00,39.207
660.00,39.281
661.00,39.393
662.00,39.480
663.00,39.553
664.00,39.858
665.00,39.983
666.00,39.979
667.00,40.043
668.00,40.139
669.00,40.378
670.00,40.504
671.00,40.549
672.00,40.632
673.00,40.695
674.00,40.785
675.00,40.946
676.00,41.084
677.00,41.251
678.00,41.127
679.00,41.119
680.00,41.225
681.00,41.623
682.00,41.557
683.00,41.378
684.00,41.738
685.00,42.146
686.00,42.124
687.00,42.090
688.00,42.250
689.00,42.277
690.00,42.550
691.00,42.793
692.00,42.653
693.00,42.712
694.00,42.744
695.00,42.768
696.00,43.168
697.00,43.359
698.00,43.284
699.00,43.627
700.00,43.606
701.00,43.544
702.00,43.811
703.00,43.992
704.00,43.999
705.00,44.005
706.00,44.253
707.00,44.222
708.00,44.163
709.00,44.515
710.00,44.778
711.00,44.464
712.00,44.564
713.00,44.661
714.00,44.818
715.00,44.821
716.00,44.665
717.00,45.062
718.00,45.485
719.00,45.304
720.00,45.380
721.00,49.804
722.00,49.880
723.00,49.861
724.00,49.880
725.00,49.955
726.00,49.982
727.00,49.995
728.00,50.065
729.00,50.091
730.00,50.207
731.00,50.243
732.00,50.276
733.00,50.332
734.00,50.380
735.00,50.465
736.00,50.560
737.00,50.575
738.00,50.601
739.00,50.667
740.00,50.687
741.00,50.785
742.00,50.843
743.00,50.796
744.00,50.874
745.00,50.879
746.00,50.896
747.00,50.989
748.00,50.913
749.00,51.017
750.00,50.990
751.00,50.992
752.00,51.037
753.00,51.080
754.00,51.017
755.00,51.042
756.00,51.132
757.00,51.177
758.00,51.199
759.00,51.150
760.00,51.283
761.00,51.219
762.00,51.264
763.00,51.367
764.00,51.387
765.00,51.364
766.00,51.362
767.00,51.385
768.00,51.466
769.00,51.384
770.00,51.516
771.00,51.593
772.00,51.584
773.00,51.476
774.00,51.607
775.00,51.608
776.00,51.617
777.00,51.583
778.00,51.654
779.00,51.692
780.00,51.726
781.00,51.721
782.00,51.749
783.00,51.688
784.00,51.710
785.00,51.742
786.00,51.740
787.00,51.780
788.00,51.717
