"2bP2_2 - RawData"
"Wavelength nm.","T%"
200.00,0.003
201.00,0.004
202.00,0.001
203.00,0.001
204.00,0.002
205.00,0.002
206.00,0.001
207.00,-0.000
208.00,0.002
209.00,-0.002
210.00,0.001
211.00,-0.001
212.00,0.001
213.00,-0.001
214.00,0.000
215.00,-0.001
216.00,0.001
217.00,0.002
218.00,0.002
219.00,0.000
220.00,0.002
221.00,0.002
222.00,0.000
223.00,0.003
224.00,-0.002
225.00,0.001
226.00,0.000
227.00,0.002
228.00,-0.000
229.00,-0.001
230.00,0.002
231.00,-0.001
232.00,-0.003
233.00,0.000
234.00,-0.001
235.00,0.000
236.00,-0.001
237.00,0.001
238.00,-0.000
239.00,0.002
240.00,-0.001
241.00,-0.000
242.00,0.000
243.00,-0.001
244.00,-0.001
245.00,-0.002
246.00,0.001
247.00,0.000
248.00,0.000
249.00,-0.001
250.00,0.000
251.00,-0.000
252.00,-0.002
253.00,0.000
254.00,-0.001
255.00,0.000
256.00,-0.001
257.00,0.001
258.00,-0.000
259.00,-0.000
260.00,-0.000
261.00,-0.001
262.00,-0.001
263.00,-0.000
264.00,0.001
265.00,-0.001
266.00,-0.000
267.00,-0.001
268.00,-0.001
269.00,0.000
270.00,-0.001
271.00,0.001
272.00,0.000
273.00,0.000
274.00,0.001
275.00,-0.002
276.00,0.000
277.00,0.001
278.00,0.002
279.00,-0.000
280.00,0.001
281.00,-0.000
282.00,0.001
283.00,-0.001
284.00,0.001
285.00,0.001
286.00,-0.000
287.00,0.001
288.00,0.001
289.00,-0.001
290.00,-0.001
291.00,-0.000
292.00,0.000
293.00,0.001
294.00,0.000
295.00,0.002
296.00,0.001
297.00,0.001
298.00,0.001
299.00,0.001
300.00,0.001
301.00,0.001
302.00,-0.000
303.00,0.004
304.00,0.006
305.00,0.008
306.00,0.011
307.00,0.016
308.00,0.022
309.00,0.032
310.00,0.045
311.00,0.061
312.00,0.084
313.00,0.107
314.00,0.146
315.00,0.183
316.00,0.226
317.00,0.282
318.00,0.343
319.00,0.409
320.00,0.488
321.00,0.579
322.00,0.678
323.00,0.788
324.00,0.909
325.00,1.032
326.00,1.153
327.00,1.282
328.00,1.407
329.00,1.536
330.00,1.697
331.00,1.833
332.00,1.988
333.00,2.142
334.00,2.278
335.00,2.409
336.00,2.573
337.00,2.700
338.00,2.843
339.00,2.951
340.00,3.091
341.00,3.215
342.00,3.319
343.00,3.436
344.00,3.516
345.00,3.619
346.00,3.707
347.00,3.765
348.00,3.850
349.00,3.911
350.00,3.967
351.00,4.031
352.00,4.077
353.00,4.129
354.00,4.168
355.00,4.212
356.00,4.229
357.00,4.257
358.00,4.271
359.00,4.291
360.00,4.294
361.00,4.301
362.00,4.289
363.00,4.284
364.00,4.277
365.00,4.293
366.00,4.261
367.00,4.259
368.00,4.256
369.00,4.241
370.00,4.233
371.00,4.224
372.00,4.183
373.00,4.177
374.00,4.139
375.00,4.101
376.00,4.074
377.00,4.043
378.00,4.009
379.00,3.977
380.00,3.947
381.00,3.928
382.00,3.908
383.00,3.881
384.00,3.855
385.00,3.847
386.00,3.821
387.00,3.809
388.00,3.802
389.00,3.783
390.00,3.767
391.00,3.747
392.00,3.737
393.00,3.716
394.00,3.689
395.00,3.677
396.00,3.657
397.00,3.645
398.00,3.635
399.00,3.628
400.00,3.603
401.00,3.595
402.00,3.572
403.00,3.577
404.00,3.552
405.00,3.536
406.00,3.538
407.00,3.514
408.00,3.507
409.00,3.503
410.00,3.487
411.00,3.484
412.00,3.474
413.00,3.498
414.00,3.496
415.00,3.491
416.00,3.482
417.00,3.478
418.00,3.470
419.00,3.470
420.00,3.471
421.00,3.481
422.00,3.496
423.00,3.493
424.00,3.505
425.00,3.517
426.00,3.529
427.00,3.529
428.00,3.550
429.00,3.568
430.00,3.585
431.00,3.599
432.00,3.616
433.00,3.630
434.00,3.644
435.00,3.682
436.00,3.709
437.00,3.732
438.00,3.760
439.00,3.789
440.00,3.830
441.00,3.853
442.00,3.893
443.00,3.924
444.00,3.971
445.00,4.007
446.00,4.053
447.00,4.083
448.00,4.127
449.00,4.178
450.00,4.221
451.00,4.278
452.00,4.330
453.00,4.370
454.00,4.425
455.00,4.473
456.00,4.527
457.00,4.581
458.00,4.636
459.00,4.697
460.00,4.749
461.00,4.813
462.00,4.863
463.00,4.931
464.00,5.003
465.00,5.055
466.00,5.128
467.00,5.223
468.00,5.323
469.00,5.390
470.00,5.426
471.00,5.518
472.00,5.603
473.00,5.692
474.00,5.761
475.00,5.868
476.00,5.955
477.00,6.046
478.00,6.113
479.00,6.212
480.00,6.311
481.00,6.400
482.00,6.486
483.00,6.589
484.00,6.665
485.00,6.818
486.00,6.916
487.00,6.990
488.00,7.125
489.00,7.226
490.00,7.297
491.00,7.444
492.00,7.572
493.00,7.668
494.00,7.725
495.00,7.867
496.00,7.936
497.00,8.039
498.00,8.137
499.00,8.270
500.00,8.357
501.00,8.492
502.00,8.590
503.00,8.707
504.00,8.804
505.00,8.932
506.00,9.048
507.00,9.134
508.00,9.234
509.00,9.365
510.00,9.462
511.00,9.615
512.00,9.782
513.00,9.850
514.00,9.974
515.00,10.028
516.00,10.141
517.00,10.239
518.00,10.352
519.00,10.430
520.00,10.554
521.00,10.636
522.00,10.758
523.00,10.899
524.00,10.945
525.00,11.066
526.00,11.159
527.00,11.229
528.00,11.309
529.00,11.426
530.00,11.484
531.00,11.587
532.00,11.600
533.00,11.715
534.00,11.865
535.00,11.944
536.00,12.030
537.00,12.118
538.00,12.239
539.00,12.308
540.00,12.419
541.00,12.500
542.00,12.520
543.00,12.666
544.00,12.765
545.00,12.856
546.00,12.945
547.00,13.031
548.00,13.104
549.00,13.194
550.00,13.253
551.00,13.291
552.00,13.395
553.00,13.410
554.00,13.460
555.00,13.518
556.00,13.586
557.00,13.711
558.00,13.821
559.00,13.910
560.00,13.955
561.00,14.012
562.00,14.101
563.00,14.150
564.00,14.242
565.00,14.300
566.00,14.338
567.00,14.439
568.00,14.498
569.00,14.552
570.00,14.579
571.00,14.631
572.00,14.707
573.00,14.720
574.00,14.786
575.00,14.816
576.00,14.864
577.00,14.970
578.00,15.039
579.00,15.102
580.00,15.151
581.00,15.245
582.00,15.296
583.00,15.371
584.00,15.486
585.00,15.508
586.00,15.536
587.00,15.621
588.00,15.691
589.00,15.797
590.00,15.866
591.00,15.918
592.00,15.968
593.00,16.055
594.00,16.122
595.00,16.193
596.00,16.284
597.00,16.315
598.00,16.362
599.00,16.374
600.00,16.418
601.00,16.490
602.00,16.522
603.00,16.653
604.00,16.668
605.00,16.750
606.00,16.826
607.00,16.915
608.00,16.952
609.00,17.095
610.00,17.135
611.00,17.146
612.00,17.223
613.00,17.302
614.00,17.433
615.00,17.499
616.00,17.539
617.00,17.586
618.00,17.611
619.00,17.710
620.00,17.789
621.00,17.860
