"2bP2 - RawData"
"Wavelength nm.","T%"
200.00,-0.002
201.00,0.002
202.00,0.002
203.00,-0.002
204.00,0.001
205.00,0.003
206.00,0.001
207.00,0.001
208.00,0.005
209.00,0.003
210.00,0.000
211.00,0.001
212.00,-0.001
213.00,0.004
214.00,0.001
215.00,0.001
216.00,0.002
217.00,0.003
218.00,0.003
219.00,-0.002
220.00,0.001
221.00,0.002
222.00,0.002
223.00,-0.001
224.00,0.002
225.00,0.001
226.00,0.001
227.00,0.001
228.00,0.002
229.00,0.000
230.00,0.001
231.00,-0.001
232.00,0.002
233.00,-0.000
234.00,0.001
235.00,0.001
236.00,-0.000
237.00,-0.002
238.00,0.000
239.00,-0.001
240.00,0.000
241.00,0.001
242.00,0.001
243.00,-0.001
244.00,0.002
245.00,-0.000
246.00,0.002
247.00,-0.002
248.00,0.001
249.00,-0.000
250.00,-0.000
251.00,0.001
252.00,0.002
253.00,-0.001
254.00,-0.002
255.00,0.000
256.00,0.000
257.00,0.001
258.00,0.001
259.00,-0.001
260.00,0.001
261.00,0.001
262.00,-0.001
263.00,0.000
264.00,-0.001
265.00,0.000
266.00,0.000
267.00,0.001
268.00,-0.001
269.00,-0.000
270.00,0.000
271.00,-0.002
272.00,0.000
273.00,-0.001
274.00,0.002
275.00,0.001
276.00,-0.000
277.00,0.001
278.00,-0.001
279.00,-0.002
280.00,-0.000
281.00,0.000
282.00,0.001
283.00,-0.000
284.00,-0.000
285.00,0.001
286.00,0.000
287.00,0.002
288.00,0.001
289.00,-0.001
290.00,-0.001
291.00,0.000
292.00,0.000
293.00,-0.001
294.00,-0.000
295.00,-0.001
296.00,0.001
297.00,-0.000
298.00,0.002
299.00,0.001
300.00,-0.000
301.00,0.003
302.00,0.004
303.00,0.003
304.00,0.006
305.00,0.007
306.00,0.013
307.00,0.021
308.00,0.028
309.00,0.043
310.00,0.059
311.00,0.081
312.00,0.111
313.00,0.142
314.00,0.186
315.00,0.236
316.00,0.294
317.00,0.361
318.00,0.444
319.00,0.537
320.00,0.647
321.00,0.768
322.00,0.895
323.00,1.032
324.00,1.181
325.00,1.337
326.00,1.493
327.00,1.670
328.00,1.844
329.00,2.043
330.00,2.230
331.00,2.404
332.00,2.605
333.00,2.802
334.00,2.979
335.00,3.164
336.00,3.354
337.00,3.543
338.00,3.731
339.00,3.879
340.00,4.057
341.00,4.204
342.00,4.354
343.00,4.499
344.00,4.605
345.00,4.731
346.00,4.841
347.00,4.941
348.00,5.033
349.00,5.129
350.00,5.210
351.00,5.287
352.00,5.349
353.00,5.405
354.00,5.447
355.00,5.522
356.00,5.558
357.00,5.585
358.00,5.614
359.00,5.619
360.00,5.635
361.00,5.643
362.00,5.616
363.00,5.608
364.00,5.600
365.00,5.608
366.00,5.588
367.00,5.567
368.00,5.587
369.00,5.551
370.00,5.544
371.00,5.545
372.00,5.501
373.00,5.475
374.00,5.411
375.00,5.372
376.00,5.347
377.00,5.299
378.00,5.248
379.00,5.197
380.00,5.182
381.00,5.142
382.00,5.110
383.00,5.083
384.00,5.062
385.00,5.042
386.00,5.009
387.00,4.996
388.00,4.984
389.00,4.955
390.00,4.937
391.00,4.903
392.00,4.891
393.00,4.872
394.00,4.856
395.00,4.825
396.00,4.794
397.00,4.773
398.00,4.751
399.00,4.742
400.00,4.723
401.00,4.710
402.00,4.679
403.00,4.673
404.00,4.650
405.00,4.630
406.00,4.620
407.00,4.587
408.00,4.584
409.00,4.591
410.00,4.577
411.00,4.581
412.00,4.557
413.00,4.583
414.00,4.591
415.00,4.586
416.00,4.581
417.00,4.558
418.00,4.548
419.00,4.561
420.00,4.550
421.00,4.570
422.00,4.586
423.00,4.582
424.00,4.596
425.00,4.612
426.00,4.624
427.00,4.637
428.00,4.658
429.00,4.673
430.00,4.701
431.00,4.731
432.00,4.741
433.00,4.767
434.00,4.799
435.00,4.834
436.00,4.877
437.00,4.897
438.00,4.942
439.00,4.977
440.00,5.013
441.00,5.062
