"2cP3_3 - RawData"
"Wavelength nm.","T%"
200.00,0.002
201.00,0.001
202.00,-0.001
203.00,0.007
204.00,0.004
205.00,0.004
206.00,-0.001
207.00,0.001
208.00,0.002
209.00,-0.002
210.00,-0.001
211.00,0.003
212.00,0.004
213.00,0.003
214.00,0.002
215.00,0.003
216.00,0.005
217.00,0.004
218.00,0.002
219.00,0.000
220.00,0.001
221.00,0.000
222.00,0.000
223.00,0.000
224.00,-0.001
225.00,0.000
226.00,0.002
227.00,0.002
228.00,-0.001
229.00,0.001
230.00,-0.000
231.00,0.001
232.00,0.001
233.00,0.002
234.00,0.002
235.00,0.000
236.00,0.002
237.00,0.003
238.00,-0.001
239.00,0.001
240.00,0.002
241.00,0.001
242.00,-0.000
243.00,0.001
244.00,0.000
245.00,0.001
246.00,0.003
247.00,0.003
248.00,0.001
249.00,-0.000
250.00,0.000
251.00,0.002
252.00,0.003
253.00,-0.000
254.00,0.001
255.00,-0.001
256.00,0.001
257.00,0.002
258.00,-0.001
259.00,0.000
260.00,0.001
261.00,0.002
262.00,-0.000
263.00,0.001
264.00,0.001
265.00,-0.000
266.00,0.002
267.00,0.001
268.00,-0.001
269.00,0.000
270.00,0.001
271.00,0.001
272.00,0.000
273.00,0.001
274.00,0.002
275.00,0.001
276.00,-0.001
277.00,-0.001
278.00,0.000
279.00,0.002
280.00,0.001
281.00,0.000
282.00,0.000
283.00,0.000
284.00,0.001
285.00,-0.002
286.00,-0.002
287.00,0.003
288.00,0.002
289.00,-0.000
290.00,-0.001
291.00,-0.000
292.00,-0.000
293.00,0.001
294.00,0.001
295.00,0.001
296.00,-0.003
297.00,-0.000
298.00,0.002
299.00,0.002
300.00,0.001
301.00,0.005
302.00,0.005
303.00,0.011
304.00,0.015
305.00,0.027
306.00,0.040
307.00,0.063
308.00,0.096
309.00,0.156
310.00,0.230
311.00,0.317
312.00,0.404
313.00,0.571
314.00,0.743
315.00,0.955
316.00,1.233
317.00,1.576
318.00,1.967
319.00,2.425
320.00,2.905
321.00,3.506
322.00,4.203
323.00,4.944
324.00,5.729
325.00,6.519
326.00,7.379
327.00,8.320
328.00,9.382
329.00,10.373
330.00,11.360
331.00,12.516
332.00,13.634
333.00,14.731
334.00,15.825
335.00,16.950
336.00,18.012
337.00,19.249
338.00,20.350
339.00,21.444
340.00,22.479
341.00,23.440
342.00,24.553
343.00,25.455
344.00,26.351
345.00,27.243
346.00,27.958
347.00,29.010
348.00,29.632
349.00,30.398
350.00,31.144
351.00,31.797
352.00,32.361
353.00,33.055
354.00,33.653
355.00,34.162
356.00,34.708
357.00,35.143
358.00,35.715
359.00,36.084
360.00,36.521
361.00,36.838
362.00,37.135
363.00,37.436
364.00,37.799
365.00,38.067
366.00,38.281
367.00,38.439
368.00,38.548
369.00,38.821
370.00,38.952
371.00,39.075
372.00,39.268
373.00,39.290
374.00,39.383
375.00,39.473
376.00,39.486
377.00,39.534
378.00,39.428
379.00,39.454
380.00,39.547
381.00,39.584
382.00,39.698
383.00,39.789
384.00,39.931
385.00,40.054
386.00,40.028
387.00,40.268
388.00,40.464
389.00,40.548
390.00,40.734
391.00,40.825
392.00,40.849
393.00,40.939
394.00,41.033
395.00,41.145
396.00,41.217
397.00,41.313
398.00,41.238
399.00,41.347
400.00,41.358
401.00,41.426
402.00,41.576
403.00,41.421
404.00,41.675
405.00,41.596
406.00,41.665
407.00,41.678
408.00,41.605
409.00,41.610
410.00,41.637
411.00,41.647
412.00,41.507
413.00,41.567
414.00,41.655
415.00,41.618
416.00,41.661
417.00,41.681
418.00,41.727
419.00,41.715
420.00,41.875
421.00,41.734
422.00,41.626
423.00,41.774
424.00,41.776
425.00,41.910
426.00,41.859
427.00,41.880
428.00,41.981
429.00,41.920
430.00,41.911
431.00,41.991
432.00,42.050
433.00,42.032
434.00,42.121
435.00,42.100
436.00,42.074
437.00,42.153
438.00,42.332
439.00,42.333
440.00,42.376
441.00,42.432
442.00,42.554
443.00,42.602
444.00,42.678
445.00,42.700
446.00,42.801
447.00,42.834
448.00,42.842
449.00,42.807
450.00,42.948
451.00,43.018
452.00,43.021
453.00,43.134
454.00,43.207
455.00,43.294
456.00,43.420
457.00,43.439
458.00,43.541
459.00,43.619
460.00,43.683
461.00,43.814
462.00,43.845
463.00,43.935
464.00,43.948
465.00,43.995
466.00,44.112
467.00,44.226
468.00,44.175
469.00,44.234
470.00,44.314
471.00,44.391
472.00,44.417
473.00,44.366
474.00,44.464
475.00,44.538
476.00,44.600
477.00,44.656
478.00,44.769
479.00,44.854
480.00,44.928
481.00,44.975
482.00,45.090
483.00,45.040
484.00,45.285
485.00,45.421
486.00,45.437
487.00,45.501
488.00,45.639
489.00,45.737
490.00,45.769
491.00,45.789
492.00,45.825
493.00,45.917
494.00,45.973
495.00,46.169
496.00,46.151
497.00,46.208
498.00,46.346
499.00,46.365
500.00,46.485
501.00,46.487
502.00,46.588
503.00,46.659
504.00,46.764
505.00,46.755
506.00,46.805
507.00,46.814
508.00,46.945
509.00,47.026
510.00,47.052
511.00,47.209
512.00,47.214
513.00,47.376
514.00,47.401
515.00,47.476
516.00,47.500
517.00,47.585
518.00,47.591
519.00,47.644
520.00,47.689
521.00,47.697
522.00,47.764
523.00,47.877
524.00,47.909
525.00,47.988
526.00,48.028
527.00,48.109
528.00,48.130
529.00,48.164
530.00,48.285
531.00,48.325
532.00,48.388
533.00,48.297
534.00,48.421
535.00,48.528
536.00,48.492
537.00,48.556
538.00,48.642
539.00,48.701
540.00,48.782
541.00,48.760
542.00,48.836
543.00,48.774
544.00,48.864
545.00,48.911
546.00,48.912
547.00,48.903
548.00,49.048
549.00,49.046
550.00,49.137
551.00,49.138
552.00,49.125
553.00,49.230
554.00,49.303
555.00,49.320
556.00,49.392
557.00,49.365
558.00,49.363
559.00,49.535
560.00,49.495
561.00,49.573
562.00,49.493
563.00,49.593
564.00,49.597
565.00,49.672
566.00,49.647
567.00,49.612
568.00,49.710
569.00,49.653
570.00,49.709
571.00,49.974
572.00,49.737
573.00,49.801
574.00,49.840
575.00,49.849
576.00,49.949
577.00,49.815
578.00,49.886
579.00,49.959
580.00,50.154
581.00,50.062
582.00,50.139
583.00,50.249
584.00,50.192
585.00,50.499
586.00,50.646
587.00,50.457
588.00,50.426
589.00,50.513
590.00,50.491
591.00,50.536
592.00,50.640
593.00,50.571
594.00,50.580
595.00,50.750
596.00,50.669
597.00,50.652
598.00,50.821
599.00,50.720
600.00,50.817
601.00,50.705
602.00,50.756
603.00,50.747
604.00,50.727
605.00,50.775
606.00,50.843
607.00,50.840
608.00,50.861
609.00,50.867
610.00,50.936
611.00,50.959
612.00,51.044
613.00,50.965
614.00,51.020
615.00,51.044
616.00,51.025
617.00,51.169
618.00,51.088
619.00,51.149
620.00,51.120
621.00,51.094
622.00,51.146
623.00,51.164
624.00,51.103
625.00,51.234
626.00,51.279
627.00,51.169
628.00,51.397
629.00,51.331
630.00,51.336
631.00,51.356
632.00,51.451
633.00,51.411
634.00,51.554
635.00,51.275
636.00,51.415
637.00,51.444
638.00,51.398
639.00,51.503
640.00,51.575
641.00,51.551
642.00,51.598
643.00,51.577
644.00,51.587
645.00,51.671
646.00,51.672
647.00,51.739
648.00,51.694
649.00,51.843
650.00,51.690
651.00,51.777
652.00,51.915
653.00,51.676
654.00,51.780
655.00,51.731
656.00,51.804
657.00,51.873
658.00,51.661
659.00,51.800
660.00,51.667
661.00,51.780
662.00,51.910
663.00,51.845
664.00,52.046
665.00,51.912
666.00,51.968
667.00,51.943
668.00,52.245
669.00,52.220
670.00,51.898
671.00,51.989
672.00,52.174
673.00,52.022
674.00,52.049
675.00,52.067
676.00,52.289
677.00,52.081
678.00,52.209
679.00,52.258
680.00,52.104
681.00,52.101
682.00,52.084
683.00,52.212
684.00,52.378
685.00,52.203
686.00,52.127
687.00,52.247
688.00,52.165
689.00,52.416
690.00,52.176
691.00,51.993
692.00,52.130
693.00,52.098
694.00,52.138
695.00,52.289
696.00,52.219
697.00,52.061
698.00,52.366
699.00,52.250
700.00,52.211
701.00,52.310
702.00,52.279
703.00,52.444
704.00,52.284
705.00,52.351
706.00,52.360
707.00,52.247
708.00,52.142
709.00,52.225
710.00,52.118
711.00,52.242
712.00,52.236
713.00,52.319
714.00,52.326
715.00,52.293
716.00,52.394
717.00,52.266
718.00,52.205
719.00,52.449
720.00,52.267
721.00,57.068
722.00,56.919
723.00,56.955
724.00,56.858
725.00,56.887
726.00,56.834
727.00,56.733
728.00,56.704
729.00,56.684
730.00,56.709
731.00,56.633
732.00,56.506
733.00,56.565
734.00,56.420
735.00,56.463
736.00,56.447
737.00,56.480
738.00,56.415
739.00,56.373
740.00,56.438
741.00,56.519
742.00,56.289
743.00,56.230
744.00,56.285
745.00,56.336
746.00,56.144
747.00,56.149
748.00,55.997
749.00,55.986
750.00,55.937
751.00,55.861
752.00,55.863
753.00,55.571
754.00,55.657
755.00,55.775
756.00,55.657
757.00,55.670
758.00,55.549
759.00,55.605
760.00,55.452
761.00,55.556
762.00,55.567
763.00,55.456
764.00,55.523
765.00,55.500
766.00,55.476
767.00,55.353
768.00,55.213
769.00,55.396
770.00,55.261
771.00,55.226
772.00,55.331
773.00,55.316
774.00,55.189
775.00,55.279
776.00,55.153
777.00,55.263
778.00,55.097
779.00,55.137
780.00,55.084
781.00,54.982
782.00,55.003
783.00,54.922
784.00,54.938
785.00,54.866
786.00,54.926
787.00,54.875
788.00,54.804
789.00,54.726
790.00,54.595
791.00,54.613
792.00,54.567
793.00,54.548
794.00,54.559
795.00,54.578
796.00,54.534
797.00,54.373
798.00,54.335
799.00,54.579
800.00,54.212
801.00,54.346
802.00,54.325
803.00,54.261
804.00,54.293
805.00,54.376
806.00,54.187
807.00,54.183
808.00,54.256
809.00,54.134
810.00,54.096
811.00,53.921
812.00,54.123
813.00,54.098
814.00,53.945
815.00,53.893
816.00,53.895
817.00,53.963
818.00,53.766
819.00,53.780
820.00,53.802
821.00,53.794
822.00,53.774
823.00,53.727
824.00,53.639
825.00,53.705
826.00,53.718
827.00,53.622
828.00,53.407
829.00,53.538
830.00,53.618
831.00,56.029
832.00,55.983
833.00,56.026
834.00,56.014
835.00,55.907
836.00,55.915
837.00,55.863
838.00,55.901
839.00,55.845
840.00,55.784
841.00,55.807
842.00,55.674
843.00,55.727
844.00,55.772
845.00,55.694
846.00,55.569
847.00,55.483
848.00,55.569
849.00,55.503
850.00,55.455
851.00,55.479
852.00,55.465
853.00,55.435
854.00,55.301
855.00,55.270
856.00,55.161
857.00,55.215
858.00,55.210
859.00,55.178
860.00,55.128
861.00,55.092
862.00,55.244
863.00,55.106
864.00,55.080
865.00,55.076
866.00,55.045
867.00,55.100
868.00,55.018
869.00,54.981
870.00,55.038
871.00,54.920
872.00,54.936
873.00,54.851
874.00,54.939
875.00,54.831
876.00,54.783
877.00,54.995
878.00,54.756
879.00,54.811
880.00,54.772
881.00,54.704
882.00,54.751
883.00,54.723
884.00,54.696
885.00,54.666
886.00,54.638
887.00,54.616
888.00,54.564
889.00,54.510
890.00,54.532
891.00,54.459
892.00,54.549
893.00,54.467
894.00,54.439
895.00,54.411
896.00,54.373
897.00,54.347
898.00,54.328
899.00,54.300
900.00,54.294
901.00,54.281
902.00,54.271
903.00,54.276
904.00,54.192
905.00,54.181
906.00,54.209
907.00,54.152
908.00,54.139
909.00,54.134
910.00,54.076
911.00,54.040
912.00,54.044
913.00,54.046
914.00,54.016
915.00,53.956
916.00,53.895
917.00,54.032
918.00,53.908
919.00,53.887
920.00,53.839
921.00,53.860
922.00,53.817
923.00,53.779
924.00,53.776
925.00,53.740
926.00,53.740
927.00,53.720
928.00,53.708
929.00,53.690
930.00,53.645
931.00,53.641
932.00,53.713
933.00,53.572
934.00,53.581
935.00,53.544
936.00,53.508
937.00,53.481
938.00,53.475
939.00,53.464
940.00,53.422
941.00,53.419
942.00,53.402
943.00,53.400
944.00,53.351
945.00,53.333
946.00,53.348
947.00,53.304
948.00,53.296
949.00,53.251
950.00,53.253
951.00,53.201
952.00,53.143
953.00,53.126
954.00,53.144
955.00,53.088
956.00,53.068
957.00,53.048
958.00,53.061
959.00,53.006
960.00,53.017
961.00,52.975
962.00,52.967
963.00,52.962
964.00,52.930
965.00,52.905
966.00,52.880
967.00,52.903
968.00,52.857
969.00,52.886
970.00,52.872
971.00,52.892
972.00,52.885
973.00,52.849
974.00,52.873
975.00,52.864
976.00,52.865
977.00,52.809
978.00,52.859
979.00,52.828
980.00,52.826
981.00,52.816
982.00,52.826
983.00,52.837
984.00,52.804
985.00,52.814
986.00,52.759
987.00,52.771
988.00,52.757
989.00,52.732
990.00,52.761
991.00,52.723
992.00,52.742
993.00,52.702
994.00,52.689
995.00,52.670
996.00,52.633
997.00,52.670
998.00,52.617
999.00,52.626
1000.00,52.577
1001.00,52.609
1002.00,52.608
1003.00,52.582
1004.00,52.609
1005.00,52.520
1006.00,52.549
1007.00,52.501
1008.00,52.510
1009.00,52.544
1010.00,52.480
1011.00,52.519
1012.00,52.472
1013.00,52.472
1014.00,52.424
1015.00,52.441
1016.00,52.426
1017.00,52.393
1018.00,52.363
1019.00,52.348
1020.00,52.343
1021.00,52.292
1022.00,52.304
1023.00,52.271
1024.00,52.267
1025.00,52.241
1026.00,52.238
1027.00,52.212
1028.00,52.197
1029.00,52.210
1030.00,52.170
1031.00,52.171
1032.00,52.149
1033.00,52.119
1034.00,52.111
1035.00,52.069
1036.00,52.056
1037.00,52.039
1038.00,52.024
1039.00,51.961
1040.00,51.967
1041.00,51.936
1042.00,51.934
1043.00,51.909
1044.00,51.955
1045.00,51.920
1046.00,51.931
1047.00,51.952
1048.00,51.948
1049.00,51.963
1050.00,51.952
1051.00,51.976
1052.00,51.971
1053.00,52.007
1054.00,52.018
1055.00,52.029
1056.00,52.027
1057.00,52.024
1058.00,52.006
1059.00,52.008
1060.00,52.019
1061.00,52.021
1062.00,51.982
1063.00,51.994
1064.00,51.968
1065.00,51.943
1066.00,51.957
1067.00,51.935
1068.00,51.959
1069.00,51.935
1070.00,51.947
1071.00,51.917
1072.00,51.917
1073.00,51.895
1074.00,51.885
1075.00,51.882
1076.00,51.867
1077.00,51.849
1078.00,51.851
1079.00,51.832
1080.00,51.844
1081.00,51.817
1082.00,51.822
1083.00,51.812
1084.00,51.803
