"2cP3.txt - RawData"
"Wavelength nm.","T%"
200.00,0.002
201.00,-0.000
202.00,0.000
203.00,0.004
204.00,0.003
205.00,-0.000
206.00,0.000
207.00,-0.001
208.00,0.003
209.00,-0.002
210.00,-0.004
211.00,0.001
212.00,0.000
213.00,0.000
214.00,0.002
215.00,-0.000
216.00,-0.001
217.00,0.004
218.00,0.001
219.00,0.001
220.00,0.002
221.00,0.001
222.00,-0.002
223.00,0.003
224.00,-0.001
225.00,0.002
226.00,0.001
227.00,0.002
228.00,0.002
229.00,0.001
230.00,0.001
231.00,-0.001
232.00,-0.000
233.00,0.001
234.00,0.000
235.00,-0.000
236.00,0.001
237.00,0.000
238.00,0.000
239.00,-0.001
240.00,0.001
241.00,0.001
242.00,0.001
243.00,0.001
244.00,-0.001
245.00,-0.000
246.00,0.001
247.00,-0.002
248.00,0.001
249.00,-0.000
250.00,-0.001
251.00,-0.002
252.00,-0.001
253.00,-0.001
254.00,0.001
255.00,0.000
256.00,-0.000
257.00,0.001
258.00,0.001
259.00,-0.001
260.00,0.000
261.00,0.000
262.00,0.000
263.00,-0.000
264.00,0.001
265.00,0.000
266.00,0.000
267.00,0.001
268.00,0.000
269.00,-0.000
270.00,0.003
271.00,-0.002
272.00,-0.001
273.00,-0.000
274.00,-0.000
275.00,0.000
276.00,0.000
277.00,0.000
278.00,-0.000
279.00,0.001
280.00,-0.001
281.00,0.001
282.00,0.001
283.00,0.001
284.00,0.001
285.00,0.001
286.00,-0.000
287.00,0.002
288.00,0.000
289.00,0.001
290.00,0.001
291.00,-0.002
292.00,0.001
293.00,0.002
294.00,0.000
295.00,0.000
296.00,-0.001
297.00,-0.002
298.00,0.001
299.00,0.002
300.00,0.000
301.00,0.001
302.00,0.002
303.00,0.002
304.00,0.008
305.00,0.009
306.00,0.013
307.00,0.021
308.00,0.031
309.00,0.049
310.00,0.063
311.00,0.091
312.00,0.125
313.00,0.170
314.00,0.217
315.00,0.289
316.00,0.362
317.00,0.456
318.00,0.553
319.00,0.682
320.00,0.828
321.00,0.999
322.00,1.178
323.00,1.352
324.00,1.603
325.00,1.822
326.00,2.062
327.00,2.310
328.00,2.585
329.00,2.844
330.00,3.126
331.00,3.399
332.00,3.716
333.00,4.024
334.00,4.295
335.00,4.594
336.00,4.872
337.00,5.165
338.00,5.450
339.00,5.701
340.00,6.000
341.00,6.237
342.00,6.482
343.00,6.728
344.00,6.961
345.00,7.146
346.00,7.353
347.00,7.501
348.00,7.721
349.00,7.872
350.00,8.007
351.00,8.150
352.00,8.268
353.00,8.393
354.00,8.486
355.00,8.583
356.00,8.673
357.00,8.740
358.00,8.827
359.00,8.911
360.00,8.975
361.00,8.973
362.00,9.049
363.00,9.085
364.00,9.120
365.00,9.119
366.00,9.156
367.00,9.157
368.00,9.165
369.00,9.154
370.00,9.127
371.00,9.120
372.00,9.108
373.00,9.075
374.00,9.050
375.00,9.032
376.00,8.988
377.00,8.938
378.00,8.891
379.00,8.842
380.00,8.801
381.00,8.773
382.00,8.762
383.00,8.725
384.00,8.714
385.00,8.694
386.00,8.654
387.00,8.673
388.00,8.655
389.00,8.628
390.00,8.632
391.00,8.609
392.00,8.592
393.00,8.575
394.00,8.563
395.00,8.552
396.00,8.510
397.00,8.504
398.00,8.489
399.00,8.473
400.00,8.471
401.00,8.452
402.00,8.444
403.00,8.429
404.00,8.431
405.00,8.409
406.00,8.389
407.00,8.352
408.00,8.347
409.00,8.322
410.00,8.315
411.00,8.293
412.00,8.278
413.00,8.268
414.00,8.284
415.00,8.273
416.00,8.278
417.00,8.277
418.00,8.306
419.00,8.335
420.00,8.319
421.00,8.319
422.00,8.323
423.00,8.344
424.00,8.351
425.00,8.376
426.00,8.411
427.00,8.423
428.00,8.455
429.00,8.484
430.00,8.507
431.00,8.548
432.00,8.570
433.00,8.609
434.00,8.647
435.00,8.693
436.00,8.723
437.00,8.781
438.00,8.817
439.00,8.868
440.00,8.919
441.00,8.960
442.00,9.033
443.00,9.074
444.00,9.148
445.00,9.214
446.00,9.278
447.00,9.357
448.00,9.402
449.00,9.495
450.00,9.543
451.00,9.628
452.00,9.711
453.00,9.781
454.00,9.871
455.00,9.957
456.00,10.031
457.00,10.126
458.00,10.209
459.00,10.325
460.00,10.419
461.00,10.509
462.00,10.604
463.00,10.702
464.00,10.790
465.00,10.898
466.00,11.013
467.00,11.112
468.00,11.207
469.00,11.309
470.00,11.407
471.00,11.503
472.00,11.615
473.00,11.688
474.00,11.814
475.00,11.908
476.00,11.986
477.00,12.153
478.00,12.258
479.00,12.400
480.00,12.524
481.00,12.634
482.00,12.771
483.00,12.901
484.00,13.040
485.00,13.178
486.00,13.301
487.00,13.443
488.00,13.561
489.00,13.697
490.00,13.831
491.00,13.976
492.00,14.137
493.00,14.287
494.00,14.405
495.00,14.488
496.00,14.608
497.00,14.731
498.00,14.877
499.00,15.016
500.00,15.115
501.00,15.251
502.00,15.413
503.00,15.524
504.00,15.668
505.00,15.790
506.00,15.909
507.00,16.011
508.00,16.153
509.00,16.312
510.00,16.415
511.00,16.535
512.00,16.680
513.00,16.824
514.00,16.960
515.00,17.087
516.00,17.228
517.00,17.329
518.00,17.471
519.00,17.554
520.00,17.691
521.00,17.789
522.00,17.885
523.00,17.986
524.00,18.092
525.00,18.220
526.00,18.318
527.00,18.435
528.00,18.554
529.00,18.670
530.00,18.792
531.00,18.900
532.00,19.037
533.00,19.139
534.00,19.227
535.00,19.339
536.00,19.407
537.00,19.545
538.00,19.626
539.00,19.719
540.00,19.802
541.00,19.904
542.00,19.958
543.00,20.049
544.00,20.151
545.00,20.221
546.00,20.297
547.00,20.389
548.00,20.460
549.00,20.536
550.00,20.617
551.00,20.773
552.00,20.852
553.00,20.942
554.00,21.022
555.00,21.128
556.00,21.179
557.00,21.243
558.00,21.336
559.00,21.397
560.00,21.503
561.00,21.552
562.00,21.633
563.00,21.693
564.00,21.765
565.00,21.850
566.00,21.880
567.00,21.955
568.00,22.018
569.00,22.037
570.00,22.094
571.00,22.169
572.00,22.236
573.00,22.271
574.00,22.357
575.00,22.398
576.00,22.441
577.00,22.520
578.00,22.584
579.00,22.664
580.00,22.722
581.00,22.842
582.00,22.921
583.00,22.976
584.00,23.082
585.00,23.130
586.00,23.178
587.00,23.249
588.00,23.298
589.00,23.371
590.00,23.454
591.00,23.484
592.00,23.511
593.00,23.619
594.00,23.653
595.00,23.669
596.00,23.757
597.00,23.786
598.00,23.946
599.00,24.025
600.00,24.117
601.00,24.151
602.00,24.181
603.00,24.260
604.00,24.328
605.00,24.378
606.00,24.452
607.00,24.521
608.00,24.605
609.00,24.674
610.00,24.740
611.00,24.744
612.00,24.805
613.00,24.902
614.00,24.939
615.00,25.043
616.00,25.147
617.00,25.200
618.00,25.264
619.00,25.324
620.00,25.381
621.00,25.486
622.00,25.602
623.00,25.653
624.00,25.773
625.00,25.858
626.00,25.923
627.00,25.982
628.00,26.075
629.00,26.187
630.00,26.237
631.00,26.352
632.00,26.473
633.00,26.546
634.00,26.682
635.00,26.800
636.00,26.882
637.00,26.975
638.00,27.114
639.00,27.258
640.00,27.346
641.00,27.450
642.00,27.597
643.00,27.650
644.00,27.819
645.00,27.882
646.00,28.061
647.00,28.185
648.00,28.271
649.00,28.427
650.00,28.501
651.00,28.624
652.00,28.805
653.00,28.899
654.00,29.059
655.00,29.255
656.00,29.348
657.00,29.546
658.00,29.685
659.00,29.745
660.00,29.820
661.00,29.986
662.00,30.267
663.00,30.335
664.00,30.474
665.00,30.627
666.00,30.608
667.00,30.943
668.00,30.955
669.00,31.200
670.00,31.428
671.00,31.345
672.00,31.581
673.00,31.935
674.00,32.034
675.00,32.144
676.00,32.347
677.00,32.470
678.00,32.475
679.00,32.670
680.00,32.906
681.00,33.053
682.00,33.206
683.00,33.357
684.00,33.521
685.00,33.750
686.00,33.867
687.00,34.041
688.00,34.187
689.00,34.311
690.00,34.548
691.00,34.787
692.00,34.789
693.00,34.957
694.00,35.087
695.00,35.274
696.00,35.438
697.00,35.620
698.00,35.826
699.00,35.962
700.00,36.219
701.00,36.317
702.00,36.470
703.00,36.729
704.00,36.886
705.00,36.931
706.00,37.064
707.00,37.345
708.00,37.367
709.00,37.715
710.00,37.875
711.00,37.866
712.00,38.006
713.00,38.096
714.00,38.235
715.00,38.544
716.00,38.529
717.00,38.715
718.00,38.926
719.00,38.902
720.00,39.147
721.00,43.271
722.00,43.419
723.00,43.531
724.00,43.584
725.00,43.748
726.00,43.869
727.00,43.955
728.00,44.074
729.00,44.191
730.00,44.301
731.00,44.351
732.00,44.513
733.00,44.616
734.00,44.823
735.00,44.828
736.00,44.914
737.00,45.042
738.00,45.187
739.00,45.287
740.00,45.364
741.00,45.564
742.00,45.677
743.00,45.713
744.00,45.744
745.00,45.825
746.00,45.952
747.00,46.048
748.00,46.105
749.00,46.185
750.00,46.278
751.00,46.380
752.00,46.369
753.00,46.375
754.00,46.545
755.00,46.632
756.00,46.691
757.00,46.675
758.00,46.866
759.00,46.887
760.00,47.044
761.00,47.039
762.00,47.104
763.00,47.272
764.00,47.290
765.00,47.318
766.00,47.373
767.00,47.471
768.00,47.542
769.00,47.594
770.00,47.782
771.00,47.745
772.00,47.778
773.00,47.914
774.00,47.944
775.00,47.999
776.00,48.036
777.00,48.115
778.00,48.204
779.00,48.259
780.00,48.231
781.00,48.303
782.00,48.389
783.00,48.348
784.00,48.464
785.00,48.407
786.00,48.478
787.00,48.518
788.00,48.585
789.00,48.714
790.00,48.635
791.00,48.676
792.00,48.705
793.00,48.728
794.00,48.781
795.00,48.720
796.00,48.864
797.00,48.817
798.00,48.910
799.00,48.901
800.00,48.845
801.00,48.935
802.00,48.969
803.00,48.950
804.00,48.995
805.00,48.985
806.00,49.048
807.00,49.052
808.00,49.100
809.00,49.042
810.00,49.121
811.00,49.129
812.00,49.190
813.00,49.133
814.00,49.271
815.00,49.211
816.00,49.210
817.00,49.237
818.00,49.169
819.00,49.240
820.00,49.271
821.00,49.242
822.00,49.255
823.00,49.243
824.00,49.278
825.00,49.240
826.00,49.294
827.00,49.386
828.00,49.407
829.00,49.292
830.00,49.316
831.00,51.772
832.00,51.774
833.00,51.759
834.00,51.776
835.00,51.786
836.00,51.796
837.00,51.780
838.00,51.797
839.00,51.793
840.00,51.796
841.00,51.818
842.00,51.809
843.00,51.813
844.00,51.839
845.00,51.779
846.00,51.805
847.00,51.775
848.00,51.798
849.00,51.763
850.00,51.717
851.00,51.780
852.00,51.737
853.00,51.696
854.00,51.680
855.00,51.677
856.00,51.653
857.00,51.675
858.00,51.660
859.00,51.617
860.00,51.651
861.00,51.658
862.00,51.590
863.00,51.649
864.00,51.622
865.00,51.640
866.00,51.774
867.00,51.617
868.00,51.620
869.00,51.645
870.00,51.601
871.00,51.639
872.00,51.631
873.00,51.650
874.00,51.654
875.00,51.650
876.00,51.651
877.00,51.667
878.00,51.629
879.00,51.632
880.00,51.635
881.00,51.611
882.00,51.627
883.00,51.589
884.00,51.578
885.00,51.585
886.00,51.578
887.00,51.578
888.00,51.561
889.00,51.558
890.00,51.523
891.00,51.627
892.00,51.523
893.00,51.500
894.00,51.507
895.00,51.481
896.00,51.469
897.00,51.464
898.00,51.422
899.00,51.429
900.00,51.414
901.00,51.418
902.00,51.416
903.00,51.439
904.00,51.417
905.00,51.395
906.00,51.376
907.00,51.397
908.00,51.350
909.00,51.297
910.00,51.434
911.00,51.333
912.00,51.341
913.00,51.276
914.00,51.274
915.00,51.258
916.00,51.223
917.00,51.239
918.00,51.242
919.00,51.201
920.00,51.116
921.00,51.201
922.00,51.176
923.00,51.129
924.00,51.106
925.00,51.097
926.00,51.098
927.00,51.076
928.00,51.071
929.00,51.065
930.00,51.065
931.00,51.044
932.00,51.026
933.00,51.028
934.00,51.023
935.00,50.976
936.00,50.982
937.00,50.952
938.00,50.946
939.00,50.926
940.00,50.901
941.00,50.907
942.00,50.868
943.00,50.851
944.00,50.858
945.00,50.835
946.00,50.840
947.00,50.810
948.00,50.773
949.00,50.781
950.00,50.767
951.00,50.709
952.00,50.753
953.00,50.687
954.00,50.677
955.00,50.658
956.00,50.640
957.00,50.592
958.00,50.597
959.00,50.561
960.00,50.569
961.00,50.536
962.00,50.555
963.00,50.510
964.00,50.497
965.00,50.498
966.00,50.509
967.00,50.490
968.00,50.469
969.00,50.499
970.00,50.456
971.00,50.473
972.00,50.451
973.00,50.488
974.00,50.514
975.00,50.481
976.00,50.501
977.00,50.498
978.00,50.530
979.00,50.497
980.00,50.520
981.00,50.499
982.00,50.507
983.00,50.504
984.00,50.484
985.00,50.507
986.00,50.454
987.00,50.474
988.00,50.459
989.00,50.449
990.00,50.437
991.00,50.430
992.00,50.437
993.00,50.418
994.00,50.422
995.00,50.401
996.00,50.405
997.00,50.392
998.00,50.381
999.00,50.405
1000.00,50.334
1001.00,50.340
1002.00,50.345
1003.00,50.316
1004.00,50.290
1005.00,50.278
1006.00,50.307
1007.00,50.264
1008.00,50.264
1009.00,50.254
1010.00,50.244
1011.00,50.216
1012.00,50.207
1013.00,50.220
1014.00,50.165
1015.00,50.180
1016.00,50.139
1017.00,50.144
1018.00,50.142
1019.00,50.109
1020.00,50.096
1021.00,50.090
1022.00,50.085
1023.00,50.040
1024.00,50.044
1025.00,50.007
1026.00,50.021
1027.00,49.972
1028.00,49.986
1029.00,49.971
1030.00,49.936
1031.00,49.947
1032.00,49.924
1033.00,49.915
1034.00,49.886
1035.00,49.860
1036.00,49.823
1037.00,49.814
1038.00,49.802
1039.00,49.771
1040.00,49.778
1041.00,49.735
1042.00,49.752
1043.00,49.712
1044.00,49.730
1045.00,49.727
1046.00,49.732
1047.00,49.735
1048.00,49.745
1049.00,49.762
1050.00,49.767
1051.00,49.805
1052.00,49.795
1053.00,49.800
1054.00,49.806
1055.00,49.813
1056.00,49.829
1057.00,49.831
1058.00,49.802
1059.00,49.826
1060.00,49.823
1061.00,49.812
1062.00,49.803
1063.00,49.802
1064.00,49.805
1065.00,49.800
1066.00,49.769
1067.00,49.766
1068.00,49.782
1069.00,49.733
1070.00,49.726
1071.00,49.721
1072.00,49.712
1073.00,49.695
1074.00,49.696
1075.00,49.676
1076.00,49.692
1077.00,49.662
1078.00,49.663
1079.00,49.659
1080.00,49.650
1081.00,49.638
1082.00,49.632
