"1cP5_2 - RawData"
"Wavelength nm.","T%"
200.00,0.003
201.00,-0.001
202.00,0.001
203.00,0.001
204.00,0.000
205.00,0.003
206.00,0.000
207.00,0.002
208.00,0.001
209.00,0.002
210.00,0.000
211.00,-0.001
212.00,0.001
213.00,0.002
214.00,-0.001
215.00,0.000
216.00,-0.004
217.00,-0.001
218.00,0.000
219.00,0.003
220.00,0.001
221.00,0.000
222.00,-0.000
223.00,0.001
224.00,-0.000
225.00,0.001
226.00,-0.000
227.00,-0.002
228.00,0.001
229.00,0.001
230.00,-0.000
231.00,-0.000
232.00,0.001
233.00,0.000
234.00,0.000
235.00,0.001
236.00,-0.001
237.00,-0.000
238.00,-0.001
239.00,0.001
240.00,0.000
241.00,-0.000
242.00,0.000
243.00,-0.003
244.00,0.001
245.00,-0.001
246.00,0.002
247.00,-0.001
248.00,-0.001
249.00,0.000
250.00,-0.000
251.00,-0.001
252.00,0.001
253.00,0.001
254.00,-0.001
255.00,0.001
256.00,0.001
257.00,0.001
258.00,-0.002
259.00,0.002
260.00,-0.001
261.00,-0.001
262.00,0.001
263.00,0.001
264.00,0.002
265.00,-0.000
266.00,0.002
267.00,0.000
268.00,0.001
269.00,-0.000
270.00,-0.000
271.00,-0.001
272.00,0.001
273.00,0.002
274.00,-0.000
275.00,0.001
276.00,0.001
277.00,0.000
278.00,-0.001
279.00,-0.001
280.00,0.001
281.00,0.001
282.00,-0.000
283.00,-0.001
284.00,-0.000
285.00,0.001
286.00,-0.001
287.00,0.001
288.00,0.002
289.00,0.001
290.00,0.002
291.00,0.001
292.00,-0.001
293.00,0.002
294.00,0.000
295.00,-0.000
296.00,0.000
297.00,-0.001
298.00,0.001
299.00,0.000
300.00,0.001
301.00,0.000
302.00,0.001
303.00,-0.001
304.00,0.001
305.00,0.001
306.00,0.003
307.00,0.003
308.00,0.003
309.00,0.009
310.00,0.010
311.00,0.016
312.00,0.025
313.00,0.039
314.00,0.058
315.00,0.085
316.00,0.123
317.00,0.169
318.00,0.230
319.00,0.312
320.00,0.415
321.00,0.536
322.00,0.679
323.00,0.854
324.00,1.063
325.00,1.264
326.00,1.498
327.00,1.780
328.00,2.070
329.00,2.369
330.00,2.711
331.00,3.062
332.00,3.417
333.00,3.807
334.00,4.203
335.00,4.620
336.00,5.007
