"2cP2 - RawData"
"Wavelength nm.","T%"
200.00,0.001
201.00,-0.000
202.00,0.003
203.00,-0.000
204.00,0.001
205.00,0.002
206.00,0.001
207.00,0.002
208.00,0.003
209.00,0.003
210.00,0.004
211.00,0.003
212.00,0.001
213.00,0.003
214.00,0.001
215.00,0.001
216.00,0.001
217.00,0.001
218.00,0.001
219.00,0.001
220.00,-0.001
221.00,-0.000
222.00,0.001
223.00,-0.003
224.00,0.002
225.00,0.001
226.00,-0.002
227.00,0.001
228.00,0.002
229.00,-0.000
230.00,0.001
231.00,0.002
232.00,0.002
233.00,0.001
234.00,0.002
235.00,0.002
236.00,0.001
237.00,0.001
238.00,-0.000
239.00,-0.001
240.00,0.001
241.00,-0.001
242.00,0.001
243.00,0.002
244.00,0.003
245.00,0.000
246.00,-0.000
247.00,0.002
248.00,-0.001
249.00,0.002
250.00,0.001
251.00,0.001
252.00,0.000
253.00,0.001
254.00,0.001
255.00,-0.000
256.00,0.000
257.00,-0.001
258.00,0.002
259.00,-0.002
260.00,-0.000
261.00,0.001
262.00,0.001
263.00,-0.001
264.00,0.003
265.00,0.002
266.00,0.000
267.00,-0.002
268.00,0.000
269.00,0.001
270.00,-0.001
271.00,-0.000
272.00,0.001
273.00,0.000
274.00,0.001
275.00,-0.000
276.00,0.000
277.00,0.000
278.00,-0.001
279.00,0.001
280.00,-0.001
281.00,0.001
282.00,0.000
283.00,-0.001
284.00,0.001
285.00,0.002
286.00,0.000
287.00,0.000
288.00,-0.000
289.00,-0.000
290.00,-0.001
291.00,-0.000
292.00,0.002
293.00,-0.001
294.00,-0.001
295.00,-0.001
296.00,-0.000
297.00,-0.000
298.00,0.002
299.00,0.001
300.00,0.003
301.00,0.007
302.00,0.009
303.00,0.013
304.00,0.022
305.00,0.033
306.00,0.050
307.00,0.075
308.00,0.116
309.00,0.182
310.00,0.259
311.00,0.359
312.00,0.479
313.00,0.648
314.00,0.857
315.00,1.125
316.00,1.427
317.00,1.805
318.00,2.226
319.00,2.760
320.00,3.335
321.00,3.999
322.00,4.744
323.00,5.587
324.00,6.480
325.00,7.335
326.00,8.302
327.00,9.422
328.00,10.491
329.00,11.586
330.00,12.822
331.00,14.021
332.00,15.225
333.00,16.479
334.00,17.698
335.00,18.968
336.00,20.244
337.00,21.514
338.00,22.713
339.00,23.859
340.00,25.095
341.00,26.219
342.00,27.296
343.00,28.353
344.00,29.359
345.00,30.328
346.00,31.192
347.00,32.120
348.00,32.942
349.00,33.787
350.00,34.533
351.00,35.194
352.00,35.870
353.00,36.487
354.00,37.057
355.00,37.664
356.00,38.216
357.00,38.793
358.00,39.204
359.00,39.672
360.00,40.100
361.00,40.446
362.00,40.769
363.00,41.245
364.00,41.452
365.00,41.845
366.00,42.095
367.00,42.268
368.00,42.525
369.00,42.640
370.00,42.879
371.00,43.020
372.00,43.192
373.00,43.205
374.00,43.275
375.00,43.247
376.00,43.309
377.00,43.323
378.00,43.307
379.00,43.265
380.00,43.266
381.00,43.363
382.00,43.446
383.00,43.552
384.00,43.657
385.00,43.803
386.00,44.013
387.00,44.105
388.00,44.257
389.00,44.331
390.00,44.488
391.00,44.518
392.00,44.822
393.00,44.993
394.00,44.989
395.00,45.018
396.00,45.100
397.00,45.159
398.00,45.219
399.00,45.216
400.00,45.357
401.00,45.384
402.00,45.427
403.00,45.468
404.00,45.470
405.00,45.511
406.00,45.446
407.00,45.418
408.00,45.433
409.00,45.412
410.00,45.379
411.00,45.331
412.00,45.273
413.00,45.180
414.00,45.225
415.00,45.129
416.00,45.356
417.00,45.327
418.00,45.393
419.00,45.372
420.00,45.385
421.00,45.589
422.00,45.544
423.00,45.567
424.00,45.563
425.00,45.620
426.00,45.638
427.00,45.644
428.00,45.669
429.00,45.675
430.00,45.718
431.00,45.731
432.00,45.739
433.00,45.781
434.00,45.716
435.00,45.849
436.00,45.916
437.00,45.887
438.00,45.891
439.00,46.012
440.00,46.030
441.00,46.050
442.00,46.048
443.00,46.138
