"2bP2 - RawData"
"Wavelength nm.","T%"
200.00,0.001
201.00,0.001
202.00,0.003
203.00,0.003
204.00,0.000
205.00,0.001
206.00,0.001
207.00,0.002
208.00,-0.000
209.00,0.000
210.00,0.002
211.00,0.001
212.00,0.002
213.00,0.000
214.00,-0.001
215.00,0.003
216.00,0.003
217.00,0.000
218.00,0.001
219.00,0.003
220.00,0.002
221.00,0.001
222.00,0.003
223.00,-0.001
224.00,-0.001
225.00,-0.000
226.00,0.001
227.00,0.001
228.00,-0.001
229.00,0.001
230.00,0.001
231.00,0.002
232.00,-0.001
233.00,0.001
234.00,0.000
235.00,0.003
236.00,0.000
237.00,0.000
238.00,-0.001
239.00,0.000
240.00,0.001
241.00,-0.002
242.00,0.002
243.00,0.001
244.00,0.001
245.00,0.001
246.00,0.001
247.00,-0.000
248.00,-0.001
249.00,0.001
250.00,0.000
251.00,-0.001
252.00,0.000
253.00,0.001
254.00,-0.001
255.00,0.000
256.00,0.000
257.00,0.002
258.00,0.001
259.00,-0.001
260.00,0.001
261.00,0.001
262.00,0.001
263.00,-0.001
264.00,-0.000
265.00,0.001
266.00,-0.001
267.00,-0.002
268.00,0.001
269.00,-0.001
270.00,-0.000
271.00,0.002
272.00,0.001
273.00,0.000
274.00,0.001
275.00,0.002
276.00,-0.000
277.00,-0.001
278.00,-0.000
279.00,0.001
280.00,0.000
281.00,0.002
282.00,0.000
283.00,0.001
284.00,0.000
285.00,0.000
286.00,-0.002
287.00,-0.001
288.00,0.003
289.00,0.001
290.00,0.001
291.00,0.001
292.00,0.001
293.00,0.001
294.00,0.000
295.00,0.000
296.00,-0.000
297.00,0.001
298.00,0.002
299.00,0.002
300.00,0.004
301.00,0.005
302.00,0.005
303.00,0.010
304.00,0.016
305.00,0.024
306.00,0.033
307.00,0.051
308.00,0.084
309.00,0.121
310.00,0.171
311.00,0.226
312.00,0.307
313.00,0.419
314.00,0.546
315.00,0.702
316.00,0.896
317.00,1.124
318.00,1.376
319.00,1.660
320.00,2.011
321.00,2.416
322.00,2.848
323.00,3.339
324.00,3.867
325.00,4.362
326.00,4.896
327.00,5.521
328.00,6.145
329.00,6.738
330.00,7.419
331.00,8.075
332.00,8.773
333.00,9.475
334.00,10.129
335.00,10.833
336.00,11.522
337.00,12.217
338.00,12.848
339.00,13.467
340.00,14.079
341.00,14.740
342.00,15.306
343.00,15.846
344.00,16.397
345.00,16.930
346.00,17.386
347.00,17.847
348.00,18.271
349.00,18.646
350.00,18.999
351.00,19.366
352.00,19.684
353.00,19.985
354.00,20.280
355.00,20.546
356.00,20.792
357.00,21.053
358.00,21.216
359.00,21.472
360.00,21.669
361.00,21.823
362.00,22.024
363.00,22.106
364.00,22.237
365.00,22.329
366.00,22.435
367.00,22.525
368.00,22.584
369.00,22.585
370.00,22.659
371.00,22.689
372.00,22.670
373.00,22.669
374.00,22.669
375.00,22.644
376.00,22.611
377.00,22.616
378.00,22.498
379.00,22.442
380.00,22.424
381.00,22.387
382.00,22.391
383.00,22.407
384.00,22.369
385.00,22.442
386.00,22.381
387.00,22.488
388.00,22.565
389.00,22.552
390.00,22.556
391.00,22.600
392.00,22.599
393.00,22.592
394.00,22.631
395.00,22.650
396.00,22.635
397.00,22.654
398.00,22.612
399.00,22.632
400.00,22.611
401.00,22.620
402.00,22.606
403.00,22.598
404.00,22.577
405.00,22.569
406.00,22.581
407.00,22.552
408.00,22.542
409.00,22.494
410.00,22.435
411.00,22.425
412.00,22.392
413.00,22.449
414.00,22.416
415.00,22.414
416.00,22.484
417.00,22.500
418.00,22.486
419.00,22.530
420.00,22.602
421.00,22.624
422.00,22.631
423.00,22.663
424.00,22.702
425.00,22.731
426.00,22.800
427.00,22.809
428.00,22.849
429.00,22.894
430.00,22.894
431.00,23.022
432.00,23.042
433.00,23.103
434.00,23.154
435.00,23.235
436.00,23.283
437.00,23.346
438.00,23.402
439.00,23.503
440.00,23.583
441.00,23.627
442.00,23.715
443.00,23.787
444.00,23.877
445.00,23.999
446.00,24.078
447.00,24.203
448.00,24.279
449.00,24.387
450.00,24.488
451.00,24.549
452.00,24.675
453.00,24.796
454.00,24.896
455.00,24.982
456.00,25.121
457.00,25.225
458.00,25.339
459.00,25.481
460.00,25.589
461.00,25.753
462.00,25.840
463.00,25.966
464.00,26.119
465.00,26.212
466.00,26.384
467.00,26.479
468.00,26.595
469.00,26.703
470.00,26.814
471.00,26.902
472.00,27.062
473.00,27.119
474.00,27.233
475.00,27.376
476.00,27.474
477.00,27.604
478.00,27.730
479.00,27.916
480.00,28.054
481.00,28.160
482.00,28.322
483.00,28.476
484.00,28.620
485.00,28.752
486.00,28.924
487.00,29.071
488.00,29.208
489.00,29.367
490.00,29.519
491.00,29.684
492.00,29.791
493.00,29.996
494.00,30.177
495.00,30.200
496.00,30.279
497.00,30.406
498.00,30.574
499.00,30.687
500.00,30.783
501.00,30.907
502.00,30.992
503.00,31.217
504.00,31.296
505.00,31.410
506.00,31.510
507.00,31.648
508.00,31.740
509.00,31.949
510.00,32.054
511.00,32.091
512.00,32.335
513.00,32.481
514.00,32.499
515.00,32.659
516.00,32.782
517.00,32.766
518.00,33.053
519.00,33.083
520.00,33.114
521.00,33.279
522.00,33.351
523.00,33.361
524.00,33.497
525.00,33.606
526.00,33.713
527.00,33.805
528.00,33.852
529.00,33.994
530.00,34.196
531.00,34.266
532.00,34.295
533.00,34.436
534.00,34.549
535.00,34.656
536.00,34.677
537.00,34.776
538.00,34.814
539.00,34.879
540.00,34.970
541.00,35.001
542.00,35.078
543.00,35.102
544.00,35.203
545.00,35.316
546.00,35.366
547.00,35.444
548.00,35.527
549.00,35.605
550.00,35.675
551.00,35.818
552.00,35.827
553.00,35.906
554.00,35.960
555.00,35.963
556.00,36.098
557.00,36.175
558.00,36.181
559.00,36.240
560.00,36.282
561.00,36.360
562.00,36.403
563.00,36.448
564.00,36.525
565.00,36.534
566.00,36.545
567.00,36.595
568.00,36.673
569.00,36.678
570.00,36.716
571.00,36.807
