"air - RawData"
"Wavelength nm.","T%"
200.00,99.115
201.00,99.291
202.00,99.232
203.00,99.432
204.00,98.583
205.00,99.087
206.00,99.613
207.00,98.722
208.00,99.208
209.00,99.262
210.00,99.110
211.00,98.977
212.00,99.340
213.00,99.179
214.00,98.995
215.00,99.470
216.00,99.268
217.00,99.069
218.00,99.148
219.00,98.922
220.00,99.321
221.00,99.053
222.00,99.373
223.00,98.827
224.00,99.222
225.00,99.046
226.00,98.998
227.00,98.844
228.00,98.833
229.00,98.870
230.00,98.920
231.00,98.943
232.00,98.575
233.00,99.145
234.00,99.110
235.00,98.944
236.00,98.824
237.00,99.152
238.00,98.918
239.00,99.072
240.00,99.171
241.00,98.806
242.00,99.236
243.00,99.170
244.00,99.180
245.00,98.739
246.00,99.083
247.00,99.012
248.00,98.916
249.00,99.096
250.00,98.820
251.00,99.152
252.00,98.862
253.00,99.276
254.00,99.026
255.00,99.189
256.00,99.329
257.00,99.216
258.00,99.050
259.00,99.278
260.00,99.540
261.00,99.271
262.00,99.103
263.00,99.338
264.00,99.443
265.00,99.307
266.00,99.466
267.00,99.877
268.00,98.961
269.00,98.791
270.00,99.503
271.00,98.905
272.00,99.050
273.00,99.039
274.00,99.380
275.00,98.782
276.00,99.111
277.00,100.093
278.00,98.884
279.00,99.120
280.00,98.934
281.00,98.909
282.00,98.758
283.00,99.283
284.00,98.964
285.00,99.106
286.00,99.110
287.00,99.435
288.00,99.089
289.00,99.252
290.00,99.545
291.00,99.152
292.00,99.899
293.00,99.231
294.00,98.272
295.00,99.442
296.00,99.147
297.00,99.009
298.00,100.256
299.00,99.233
300.00,99.595
301.00,98.879
302.00,99.087
303.00,98.843
304.00,98.908
305.00,98.589
306.00,98.896
307.00,99.064
308.00,98.842
309.00,98.739
310.00,98.715
311.00,99.413
312.00,99.430
313.00,99.762
314.00,99.698
315.00,99.560
316.00,99.592
317.00,99.863
318.00,99.966
319.00,99.634
320.00,99.584
321.00,99.526
322.00,99.281
323.00,99.626
324.00,99.362
325.00,99.271
326.00,99.491
327.00,99.531
328.00,99.333
329.00,99.548
330.00,99.378
331.00,99.369
332.00,99.382
333.00,99.371
334.00,99.427
335.00,99.420
336.00,99.273
337.00,99.325
338.00,99.315
339.00,99.361
340.00,99.454
341.00,99.456
342.00,99.779
343.00,99.687
344.00,99.744
345.00,99.938
346.00,100.089
347.00,99.523
348.00,99.420
349.00,99.430
350.00,99.450
351.00,99.526
352.00,99.568
353.00,99.387
354.00,99.392
355.00,99.785
356.00,99.518
357.00,99.564
358.00,99.563
359.00,99.744
360.00,99.856
361.00,99.360
362.00,99.757
363.00,99.525
364.00,99.464
365.00,99.622
366.00,99.326
367.00,99.476
368.00,99.474
369.00,99.522
370.00,99.620
371.00,99.538
372.00,99.504
373.00,99.580
374.00,99.761
375.00,99.842
376.00,99.519
377.00,99.501
378.00,99.394
379.00,99.460
380.00,99.463
381.00,99.474
382.00,99.422
383.00,99.406
384.00,99.366
385.00,99.365
386.00,99.404
387.00,99.271
388.00,99.363
389.00,99.375
390.00,99.408
391.00,99.340
392.00,99.367
393.00,99.243
394.00,99.361
395.00,99.345
396.00,99.305
397.00,99.358
398.00,99.158
399.00,99.302
400.00,99.175
401.00,99.441
402.00,99.350
403.00,99.199
404.00,99.261
405.00,99.249
406.00,99.187
407.00,99.284
408.00,99.499
409.00,99.278
410.00,99.161
411.00,99.221
412.00,99.180
413.00,99.278
414.00,99.190
415.00,99.235
416.00,99.371
417.00,99.159
418.00,99.450
419.00,99.675
420.00,99.786
421.00,99.326
422.00,99.287
423.00,99.444
424.00,99.489
425.00,99.354
426.00,99.384
427.00,99.402
428.00,99.345
429.00,99.455
430.00,99.433
431.00,99.315
432.00,99.459
433.00,99.277
434.00,99.470
435.00,99.506
436.00,99.377
437.00,99.415
438.00,99.339
439.00,99.357
440.00,99.352
441.00,99.450
442.00,99.363
443.00,99.403
444.00,99.458
445.00,99.503
446.00,99.481
447.00,99.284
448.00,99.452
449.00,99.212
450.00,99.445
451.00,99.370
452.00,99.314
453.00,99.368
454.00,99.426
455.00,99.372
456.00,99.371
457.00,99.378
458.00,99.303
459.00,99.360
460.00,99.424
461.00,99.447
462.00,99.318
463.00,99.395
464.00,99.325
465.00,99.403
466.00,99.560
467.00,99.474
468.00,99.297
469.00,99.226
470.00,99.357
471.00,99.186
472.00,99.274
473.00,99.210
474.00,99.287
475.00,99.178
476.00,99.131
477.00,99.061
478.00,98.832
479.00,99.205
480.00,99.074
481.00,99.030
482.00,99.103
483.00,98.983
484.00,99.028
485.00,99.012
486.00,99.087
487.00,99.043
488.00,99.111
489.00,99.112
490.00,99.300
491.00,99.260
492.00,99.307
493.00,99.526
494.00,99.623
495.00,99.269
496.00,99.287
497.00,99.155
498.00,99.343
499.00,99.332
500.00,99.456
501.00,99.267
502.00,99.204
503.00,99.302
504.00,99.037
505.00,99.072
506.00,99.154
507.00,99.132
508.00,99.195
509.00,99.205
510.00,99.325
511.00,99.008
512.00,99.040
513.00,99.281
514.00,99.159
515.00,99.114
516.00,99.259
517.00,99.183
518.00,99.127
519.00,98.966
520.00,98.827
521.00,99.158
522.00,99.144
523.00,98.857
524.00,99.115
525.00,99.048
526.00,99.144
527.00,99.094
528.00,99.155
529.00,99.504
530.00,99.555
531.00,99.355
532.00,99.286
533.00,99.390
534.00,99.386
535.00,99.303
536.00,99.345
537.00,99.344
538.00,99.222
539.00,99.249
540.00,99.229
541.00,99.214
542.00,99.095
543.00,99.091
544.00,99.157
545.00,99.149
546.00,99.047
547.00,99.200
548.00,99.206
549.00,99.255
550.00,99.138
551.00,99.274
552.00,99.243
553.00,99.210
554.00,99.203
555.00,99.262
556.00,99.144
557.00,99.198
558.00,99.223
559.00,99.173
560.00,99.276
561.00,99.291
562.00,99.275
563.00,99.281
564.00,99.274
565.00,99.013
566.00,99.226
567.00,99.140
568.00,99.354
569.00,99.639
